"set_id","particle","R0","prop_funeral","hcw_risk_scalar","mn_offspring_genPop","mn_offspring_funeral","prob_hcw_cond_genPop_hospital","prob_hcw_cond_hcw_hospital"
62,369,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
63,86,1.60645343593592,0.255214056416249,3.13682519321011,1.21613070951624,0.790328996156464,0.784206298302528,0.784206298302528
64,327,1.63704078233153,0.295615838825639,2.50575248557309,1.17205967075871,0.93287269612695,0.626438121393272,0.626438121393272
65,355,1.51935960593222,0.172645412048884,3.21196763365193,1.27771177609758,0.505650919727758,0.802991908412983,0.802991908412983
66,49,1.60189284729731,0.264237108083911,2.8859248363352,1.19798666720075,0.815947946278679,0.7214812090838,0.7214812090838
67,316,1.58927238615273,0.231217454222848,3.70919516436073,1.24188818173809,0.708360174932162,0.927298791090183,0.927298791090183
68,440,1.52703468451273,0.187517755697822,3.73038387555155,1.26108227749149,0.551983990641581,0.932595968887888,0.932595968887888
69,247,1.57936008893569,0.255689902943085,3.2249953613037,1.19485639289366,0.778448562794487,0.806248840325925,0.806248840325925
70,219,1.56871149544668,0.23667032947137,3.78575095562518,1.2171269105411,0.715685269102763,0.946437738906295,0.946437738906295
71,111,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
72,377,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
73,51,1.62900248403029,0.270940694475382,3.98768860443364,1.20716113886439,0.850807226565134,0.99692215110841,0.99692215110841
74,467,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
75,130,1.56339532138756,0.231196507822488,3.4125803714963,1.22170062861324,0.69676329080078,0.853145092874075,0.853145092874075
76,65,1.64197485104984,0.279653996346779,2.34728290918139,1.20223202966218,0.885161905056435,0.586820727295348,0.586820727295348
77,359,1.59644611954652,0.262789818816772,2.75592370883095,1.19626179239971,0.80871963009546,0.688980927207738,0.688980927207738
