parameter,param_id,grid_id,tau,relative_day,mean,median,sd,q5,q95
p_hosp,2,54,0.5353535353535354,191.12121212121212,0.52921642851,0.528543155,0.04398235463227281,0.460190836,0.6016917605
p_ETU,3,54,0.5353535353535354,191.12121212121212,0.25073170038933335,0.23952633499999998,0.07643968380241509,0.14512673199999998,0.39140554200000005
latent_IPC,4,54,0.5353535353535354,191.12121212121212,0.20641800856743334,0.190695375,0.08954782660363361,0.08779638840000001,0.38027781
p_unsafe_funeral_comm,5,54,0.5353535353535354,191.12121212121212,0.494203839361,0.5018235449999999,0.1522074560546093,0.200880352,0.7345771660000001
p_unsafe_funeral_hosp,6,54,0.5353535353535354,191.12121212121212,0.018616577209016667,0.0184502935,0.0049574230528450945,0.0104600357,0.027031639450000002
delay_hosp,1,55,0.5454545454545455,194.72727272727275,4.087977490066667,4.06263165,0.24398363929168285,3.7379109400000003,4.533370225
p_hosp,2,55,0.5454545454545455,194.72727272727275,0.53876277392,0.5379773999999999,0.04251199325428444,0.47206507900000005,0.6091260765
p_ETU,3,55,0.5454545454545455,194.72727272727275,0.26454507846866665,0.25374503000000004,0.07551034666731433,0.1590206855,0.40251894850000003
latent_IPC,4,55,0.5454545454545455,194.72727272727275,0.21815962217766666,0.20301417,0.08973900546744805,0.09821129725,0.39154959050000004
p_unsafe_funeral_comm,5,55,0.5454545454545455,194.72727272727275,0.48215274897956667,0.48996652,0.1498734556795657,0.195979255,0.7183069985000001
p_unsafe_funeral_hosp,6,55,0.5454545454545455,194.72727272727275,0.01815141527048,0.0180150655,0.004962620201128908,0.00985786006,0.02651544895
delay_hosp,1,56,0.5555555555555556,198.33333333333334,4.049698549733334,4.026843100000001,0.24565742327204962,3.6960891300000003,4.49951711
p_hosp,2,56,0.5555555555555556,198.33333333333334,0.548597825335,0.5474782899999999,0.04099781400725714,0.48420676599999996,0.6162403985
p_ETU,3,56,0.5555555555555556,198.33333333333334,0.279320511896,0.269671075,0.07443689513418222,0.17391455900000002,0.4146127945
latent_IPC,4,56,0.5555555555555556,198.33333333333334,0.23106280661483333,0.216361545,0.08966456138450328,0.11002334500000001,0.403549003
p_unsafe_funeral_comm,5,56,0.5555555555555556,198.33333333333334,0.46999332144091666,0.47823724,0.1471908764484132,0.19059657549999998,0.6992343455000002
