"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost","obv_efficacy","obv_coverage"
"DRC",26,10,"cov10_obv50",21,10554.8561369423,23,2,11323.2472409726,0.5,0.1
"DRC",27,1,"cov10_obv50",174,38862.045675631,180,6,39980.1359601766,0.5,0.1
"DRC",28,1,"cov10_obv50",204,87522.0385942093,208,4,90818.5023760165,0.5,0.1
"DRC",29,1,"cov10_obv50",19,4506.6928882239,20,1,4898.38285838244,0.5,0.1
"DRC",29,2,"cov10_obv50",160,29732.1938571499,165,5,30692.9225979877,0.5,0.1
"DRC",29,3,"cov10_obv50",191,60142.3134884941,202,11,62458.4493296674,0.5,0.1
"DRC",29,4,"cov10_obv50",239,63386.3125987844,248,9,67088.8533198584,0.5,0.1
"DRC",29,5,"cov10_obv50",119,50008.0473423783,126,7,52975.1617816577,0.5,0.1
"DRC",29,6,"cov10_obv50",76,39974.5244871156,77,1,40762.2735061428,0.5,0.1
"DRC",29,7,"cov10_obv50",5,655.338992310682,5,0,655.338992310682,0.5,0.1
"DRC",29,8,"cov10_obv50",14,2100.67555346784,16,2,2291.82677847106,0.5,0.1
"DRC",29,9,"cov10_obv50",194,72743.9842920592,203,9,75728.5261437469,0.5,0.1
"DRC",29,10,"cov10_obv50",56,27424.3323559987,58,2,29470.0141419886,0.5,0.1
"DRC",30,1,"cov10_obv50",12,1962.36539667341,12,0,2049.44896920983,0.5,0.1
"DRC",30,2,"cov10_obv50",23,7685.61796544624,24,1,8327.60516659628,0.5,0.1
"DRC",30,3,"cov10_obv50",46,34260.5341930278,47,1,34328.0883356723,0.5,0.1
"DRC",30,4,"cov10_obv50",5,455.081383361685,5,0,455.081383361685,0.5,0.1
"DRC",30,5,"cov10_obv50",5,455.081383361685,5,0,455.081383361685,0.5,0.1
"DRC",30,6,"cov10_obv50",3,220.484622000126,3,0,220.484622000126,0.5,0.1
"DRC",30,7,"cov10_obv50",195,53282.1496086295,203,8,57097.3915675938,0.5,0.1
"DRC",30,8,"cov10_obv50",45,17145.7418418216,47,2,17699.0475370546,0.5,0.1
"DRC",30,9,"cov10_obv50",21,3082.61215016735,22,1,3333.30195326054,0.5,0.1
"DRC",30,10,"cov10_obv50",165,78445.8683555984,172,7,83427.2586742522,0.5,0.1
"DRC",31,1,"cov10_obv50",19,5276.00904904541,19,0,5580.26454973772,0.5,0.1
"DRC",32,1,"cov10_obv50",13,7972.44594871714,17,4,8703.48476120104,0.5,0.1
"DRC",33,1,"cov10_obv50",10,1289.00249309681,10,0,1289.00249309681,0.5,0.1
"DRC",33,2,"cov10_obv50",24,3536.51507605233,24,0,3689.9986491289,0.5,0.1
"DRC",33,3,"cov10_obv50",14,3034.31262592278,15,1,3139.20438448839,0.5,0.1
"DRC",33,4,"cov10_obv50",153,98535.908051739,159,6,103422.630387785,0.5,0.1
"DRC",33,5,"cov10_obv50",176,34440.3145845632,186,10,36012.3871575193,0.5,0.1
"DRC",33,6,"cov10_obv50",4,462.197406507398,4,0,526.315037856521,0.5,0.1
"DRC",33,7,"cov10_obv50",161,69579.7133017622,169,8,71971.224359812,0.5,0.1
"DRC",33,8,"cov10_obv50",149,31265.9866512038,157,8,32802.0966280607,0.5,0.1
"DRC",33,9,"cov10_obv50",171,156891.528036019,178,7,163615.615036982,0.5,0.1
"DRC",33,10,"cov10_obv50",33,20729.0402639893,36,3,23747.9136886488,0.5,0.1
"DRC",34,1,"cov10_obv50",34,7359.98447993912,34,0,7359.98447993912,0.5,0.1
"DRC",34,2,"cov10_obv50",3,314.176919926548,3,0,314.176919926548,0.5,0.1
"DRC",34,3,"cov10_obv50",12,2154.5767849105,12,0,2246.20966409733,0.5,0.1
"DRC",34,4,"cov10_obv50",12,2154.5767849105,12,0,2246.20966409733,0.5,0.1
"DRC",34,5,"cov10_obv50",184,48834.415264456,191,7,51806.0998564883,0.5,0.1
"DRC",34,6,"cov10_obv50",1,140.572600478619,1,0,140.572600478619,0.5,0.1
"DRC",34,7,"cov10_obv50",83,55191.7523577001,89,6,59778.1060798224,0.5,0.1
"DRC",34,8,"cov10_obv50",7,1309.115227259,7,0,1309.115227259,0.5,0.1
