"scenario","particle_id","rep","arm","period","n_hcw_deaths","n_pep_died","n_prevented","n_counterfactual","pct_averted","n_recip_counterfactual","pct_averted_recipients","dpc_mean","dpc_median","n_pep_recipients"
"DRC",5,3,"with_conflict_mid","early (day 0-200)",9,2,9,18,50,11,81.8181818181818,1.04534958368525,1,6
"DRC",5,3,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",5,4,"with_conflict_mid","early (day 0-200)",14,2,32,46,69.5652173913043,34,94.1176470588235,1.22137146070982,1.07802523157998,5
"DRC",5,4,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",5,5,"with_conflict_mid","early (day 0-200)",9,0,2,11,18.1818181818182,2,100,NA,NA,0
"DRC",5,5,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",5,6,"with_conflict_mid","early (day 0-200)",29,5,46,75,61.3333333333333,51,90.1960784313726,1.24714637701959,1.0809062668792,8
"DRC",5,6,"with_conflict_mid","late (day 201+)",51,1,12,63,19.047619047619,13,92.3076923076923,2.82756693751354,2.24699188699797,3
"DRC",5,7,"with_conflict_mid","early (day 0-200)",6,1,6,12,50,7,85.7142857142857,1.0903482152443,1.0903482152443,1
"DRC",5,7,"with_conflict_mid","late (day 201+)",1,0,0,1,0,0,NA,NA,NA,0
"DRC",5,8,"with_conflict_mid","early (day 0-200)",13,1,22,35,62.8571428571429,23,95.6521739130435,1.11206297302005,1.12980568726849,3
"DRC",5,8,"with_conflict_mid","late (day 201+)",3,1,1,4,25,2,50,2.68452325680704,2.68452325680704,1
"DRC",5,9,"with_conflict_mid","early (day 0-200)",9,1,6,15,40,7,85.7142857142857,1.19390483186381,1.19390483186381,1
"DRC",5,9,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",5,10,"with_conflict_mid","early (day 0-200)",3,0,3,6,50,3,100,NA,NA,0
"DRC",5,10,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",6,1,"with_conflict_mid","early (day 0-200)",28,6,31,59,52.5423728813559,37,83.7837837837838,1.0752231026168,1,9
"DRC",6,1,"with_conflict_mid","late (day 201+)",63,8,62,125,49.6,70,88.5714285714286,1.98120915712135,1.41590847168493,17
"DRC",7,1,"with_conflict_mid","early (day 0-200)",30,7,43,73,58.9041095890411,50,86,1.19904487963896,1.15581263370583,12
"DRC",7,1,"with_conflict_mid","late (day 201+)",30,0,2,32,6.25,2,100,NA,NA,0
"DRC",7,2,"with_conflict_mid","early (day 0-200)",8,3,7,15,46.6666666666667,10,70,1.4505684714279,1.50682356415104,3
"DRC",7,2,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",7,3,"with_conflict_mid","early (day 0-200)",4,0,2,6,33.3333333333333,2,100,NA,NA,0
"DRC",7,3,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
