"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","condition"
"DRC",9,"with_conflict_hi",37.9,192025.325739654,134,513,262691.787590619,26.1208576998051,26.9009025745001,"baseline"
"DRC",9,"with_conflict_lo",48,198901.078198247,139,619,265142.325112527,22.4555735056543,24.9832790318055,"baseline"
"DRC",9,"with_conflict_mid",27.1,119564.914242988,125,396,167380.435145996,31.5656565656566,28.5669713197373,"baseline"
"DRC",10,"cov_conflict_hi",50.6,141834.059814286,202,708,206623.672034088,28.5310734463277,31.3563356908658,"baseline"
"DRC",10,"cov_conflict_lo",63.5,367460.62810656,254,889,530049.282762753,28.5714285714286,30.6742523655045,"baseline"
"DRC",10,"cov_conflict_mid",78.8,271846.44572275,278,1066,411239.265860829,26.078799249531,33.8957953945118,"baseline"
"DRC",10,"dpc_conflict_hi",54.8,272242.556771415,835,1383,614780.063933002,60.3759942154736,55.7170811574847,"baseline"
"DRC",10,"dpc_conflict_lo",67.3,279801.137832767,226,899,409431.741894446,25.139043381535,31.661102644821,"baseline"
"DRC",10,"dpc_conflict_mid",50,212757.055587537,534,1034,421999.902781287,51.6441005802708,49.5836245019695,"baseline"
"DRC",10,"no_pep",95.5,393579.018426899,0,955,393579.018426899,0,0,"baseline"
"DRC",10,"optimistic_hi",8.2,26708.6826136601,346,428,137041.248696328,80.8411214953271,80.5104792405647,"baseline"
"DRC",10,"optimistic_lo",12.4,41247.5084171305,614,738,271264.627770675,83.1978319783198,84.7943652823026,"baseline"
"DRC",10,"optimistic_mid",14.5,85993.747916466,618,763,515179.351223822,80.9960681520315,83.307997940487,"baseline"
"DRC",10,"with_conflict_hi",79.9,376147.581395413,320,1119,534744.175024771,28.5969615728329,29.6584050909973,"baseline"
"DRC",10,"with_conflict_lo",55.4,291860.20485813,140,694,376529.591583421,20.1729106628242,22.4867815486243,"baseline"
"DRC",10,"with_conflict_mid",41.5,168091.468541358,161,576,247240.396786153,27.9513888888889,32.0129433837035,"baseline"
"DRC",11,"cov_conflict_hi",42,180691.826950336,180,600,264720.036824753,30,31.7422930588531,"baseline"
"DRC",11,"cov_conflict_lo",30.2,81573.5683688432,102,404,119243.477511122,25.2475247524752,31.5907502267913,"baseline"
"DRC",11,"cov_conflict_mid",23.8,79192.2452072446,110,348,119588.133796794,31.6091954022989,33.7791780062318,"baseline"
"DRC",11,"dpc_conflict_hi",19.2,78971.1697994029,213,405,164906.323166401,52.5925925925926,52.1114968285867,"baseline"
"DRC",11,"dpc_conflict_lo",49.1,275309.60966569,242,733,423660.697646047,33.0150068212824,35.0164857879497,"baseline"
"DRC",11,"dpc_conflict_mid",28.6,166039.335155502,315,601,343870.980934503,52.4126455906822,51.7146417228132,"baseline"
"DRC",11,"no_pep",50.7,307196.020413552,0,507,307196.020413552,0,0,"baseline"
"DRC",11,"optimistic_hi",10.1,54873.9506638096,457,558,296425.119986516,81.8996415770609,81.4880902582393,"baseline"
"DRC",11,"optimistic_lo",7.7,23896.4057613245,407,484,132628.641015169,84.0909090909091,81.9824695643293,"baseline"
"DRC",11,"optimistic_mid",6,12241.5547570525,242,302,69809.4995407695,80.1324503311258,82.4643424783424,"baseline"
"DRC",11,"with_conflict_hi",21.8,102477.846702151,119,337,158214.318541828,35.3115727002967,35.2284624763223,"baseline"
"DRC",11,"with_conflict_lo",44.3,154434.373475059,155,598,226913.976166241,25.9197324414716,31.9414449104193,"baseline"
"DRC",11,"with_conflict_mid",41.4,204879.990523655,159,573,275414.19312713,27.7486910994764,25.6102279271121,"baseline"
"DRC",12,"cov_conflict_hi",44.7,170219.643635593,174,621,246480.9262813,28.0193236714976,30.9400341017352,"baseline"
