"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",9,2,"with_conflict_mid",13,8,61.5384615384615,1.33658272093489,1.33658272093489,1.33658272093489,1.33658272093489
"DRC",9,3,"with_conflict_mid",56,36,64.2857142857143,1.31557762565697,1,1,2.48353519029104
"DRC",9,4,"with_conflict_mid",6,0,0,NA,NA,NA,NA
"DRC",9,5,"with_conflict_mid",29,14,48.2758620689655,1.13066592507122,1,1,1.78399555042732
"DRC",9,6,"with_conflict_mid",77,40,51.9480519480519,1.04284272121112,1,1,1.29989904847782
"DRC",9,7,"with_conflict_mid",3,0,0,NA,NA,NA,NA
"DRC",9,8,"with_conflict_mid",10,6,60,1.26719513235302,1.26719513235302,1,1.53439026470604
"DRC",9,9,"with_conflict_mid",80,42,52.5,1.66905392123582,1.42737491211997,1,2.77428695312134
"DRC",9,10,"with_conflict_mid",272,63,23.1617647058824,4.76560670447213,4.5206359155522,1,9.32910566336074
"DRC",10,1,"with_conflict_mid",386,78,20.2072538860104,7.14572563976841,8.4341717133723,1,9.9967192366677
"DRC",10,2,"with_conflict_mid",295,113,38.3050847457627,4.53346013348142,3.2186721024652,1,9.62710743491954
"DRC",11,1,"with_conflict_mid",282,41,14.5390070921986,4.25481164135389,1.86221700925938,1,9.67820700141099
"DRC",11,2,"with_conflict_mid",282,41,14.5390070921986,4.25481164135389,1.86221700925938,1,9.67820700141099
"DRC",11,3,"with_conflict_mid",324,125,38.5802469135802,4.10671284617032,3.21613630761103,1,9.96662821380078
"DRC",11,4,"with_conflict_mid",324,125,38.5802469135802,4.10671284617032,3.21613630761103,1,9.96662821380078
"DRC",11,5,"with_conflict_mid",19,11,57.8947368421053,NA,NA,NA,NA
"DRC",11,6,"with_conflict_mid",21,10,47.6190476190476,1.7744585647538,1.7744585647538,1.7744585647538,1.7744585647538
"DRC",11,7,"with_conflict_mid",15,7,46.6666666666667,1,1,1,1
"DRC",11,8,"with_conflict_mid",136,62,45.5882352941176,3.10885783703689,1.73486641289436,1,9.99200933208618
"DRC",11,9,"with_conflict_mid",23,6,26.0869565217391,1,1,1,1
"DRC",11,10,"with_conflict_mid",58,23,39.6551724137931,2.7556644058474,1.53765181091529,1.33612067542564,5.40387308462015
"DRC",12,1,"with_conflict_mid",194,61,31.4432989690722,3.14163686513675,1.61379293352892,1,9.97309160500441
"DRC",12,2,"with_conflict_mid",104,33,31.7307692307692,3.75464659237335,3.09218986520065,1,9.4279647335495
"DRC",13,1,"with_conflict_mid",124,51,41.1290322580645,1.29234828537271,1,1,2.77428695312134
"DRC",13,2,"with_conflict_mid",345,69,20,6.54727475919637,9.27020291916313,1,9.9895259780549
"DRC",13,3,"with_conflict_mid",41,12,29.2682926829268,1.29500457968136,1.15640085615763,1,1.86721660641021
"DRC",13,4,"with_conflict_mid",41,12,29.2682926829268,1.29500457968136,1.15640085615763,1,1.86721660641021
"DRC",13,5,"with_conflict_mid",157,60,38.2165605095541,5.39635025127677,3.95238178456962,2.77428695312134,9.9611220928513
"DRC",13,6,"with_conflict_mid",54,14,25.9259259259259,2.03054844333925,2.03054844333925,1.6768425397762,2.38425434690229
"DRC",13,7,"with_conflict_mid",99,51,51.5151515151515,1.25910864779997,1,1,4.14862668885717
"DRC",13,8,"with_conflict_mid",11,1,9.09090909090909,NA,NA,NA,NA
"DRC",13,9,"with_conflict_mid",28,14,50,1,1,1,1
"DRC",13,10,"with_conflict_mid",9,4,44.4444444444444,1,1,1,1
"DRC",14,1,"with_conflict_mid",80,33,41.25,1.82895932683181,1.24283989271041,1,3.99385921228692
"DRC",14,2,"with_conflict_mid",52,34,65.3846153846154,1.30916387365384,1,1,2.54581936826919
"DRC",15,1,"with_conflict_mid",53,29,54.7169811320755,1.20109684752119,1,1,2.32759896047346
"DRC",15,2,"with_conflict_mid",33,14,42.4242424242424,1,1,1,1
"DRC",15,3,"with_conflict_mid",99,43,43.4343434343434,2.33649208000497,1.14730442947151,1,8.15042389078167
"DRC",15,4,"with_conflict_mid",55,20,36.3636363636364,2.85741999679322,2.03438805686216,1,6.36090387344857
"DRC",15,5,"with_conflict_mid",338,124,36.6863905325444,3.09110533908112,2.77428695312134,1,9.89874658472089
"DRC",15,6,"with_conflict_mid",11,5,45.4545454545455,NA,NA,NA,NA
"DRC",15,7,"with_conflict_mid",12,3,25,NA,NA,NA,NA
"DRC",15,8,"with_conflict_mid",91,29,31.8681318681319,3.84027687885504,1.86489795562941,1,7.89925855334601
"DRC",15,9,"with_conflict_mid",115,42,36.5217391304348,4.76154044859527,3.01069995390533,1.30609836683986,9.55058435435804
"DRC",15,10,"with_conflict_mid",24,10,41.6666666666667,NA,NA,NA,NA
"DRC",16,1,"with_conflict_mid",148,58,39.1891891891892,3.15248862516612,1.64500487929649,1,9.47353012262433
"DRC",16,2,"with_conflict_mid",8,0,0,NA,NA,NA,NA
"DRC",17,1,"with_conflict_mid",20,10,50,1,1,1,1
