"analysis","scenario_key","scenario_label","r0_factor","hcw_factor","arm","efficacy","particle_id","n_reps","baseline_hcw_deaths","pep_hcw_deaths","hcw_deaths_averted","baseline_hcw_days_lost","pep_hcw_days_lost","hcw_days_lost_averted","pct_hcw_deaths_averted","pct_days_lost_averted"
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,27,10,228.1,44.7,183.4,143406.508024069,27518.2943569247,115888.213667144,80.403331871986,80.8109863798468
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,28,10,87.8,17.7,70.1,50943.8101442449,10043.6709225938,40900.1392216511,79.8405466970387,80.2848061537689
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,29,10,143,27.4,115.6,60332.7924170679,11747.7489907032,48585.0434263646,80.8391608391608,80.5284182613436
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,30,10,79.5,13.9,65.6,41277.4758360782,7781.69201770474,33495.7838183735,82.5157232704402,81.1478491354279
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,31,10,99.2,19.3,79.9,56771.0494242165,10615.8944511238,46155.1549730927,80.5443548387097,81.3005139788812
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,32,10,48.4,9.8,38.6,18627.3847367035,4085.57376206852,14541.8109746349,79.7520661157025,78.0668418040548
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,33,10,58.3,11,47.3,21797.872221356,4276.48480861209,17521.3874127439,81.1320754716981,80.3811823228219
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,34,10,66.3,13.6,52.7,32373.8891912937,6723.14362395888,25650.7455673348,79.4871794871795,79.2328206715215
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,35,10,114.6,22,92.6,59618.7422590587,11479.034003149,48139.7082559098,80.8027923211169,80.7459306114349
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,36,10,23.6,4.3,19.3,8109.52646403841,1483.46378820591,6626.0626758325,81.7796610169491,81.7071465913046
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,37,10,64.8,14.7,50.1,26829.4034888541,5685.86539993959,21143.5380889146,77.3148148148148,78.8073357564521
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,38,10,67.4,12.5,54.9,33147.9971183162,6859.10361279885,26288.8935055173,81.4540059347181,79.3076378391236
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,39,10,29.5,6.2,23.3,12913.1804056188,2558.20357633578,10354.976829283,78.9830508474576,80.1892059432341
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,40,10,17.9,3.9,14,6470.50575911608,1117.64728220958,5352.8584769065,78.2122905027933,82.7270491084106
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,41,10,75.8,16.4,59.4,44704.9631136006,9357.84511144175,35347.1180021589,78.3641160949868,79.0675476285209
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,42,10,67,14.1,52.9,23078.6684612783,4883.87692333504,18194.7915379432,78.955223880597,78.8381338744509
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,43,10,96.1,20.2,75.9,28845.3488754606,5796.96532566513,23048.3835497954,78.9802289281998,79.9032927260008
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,44,10,144.1,26.3,117.8,90137.4667446044,17776.6976856865,72360.7690589179,81.7487855655795,80.278236866746
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,45,10,186,40.8,145.2,98518.1956881302,20035.4729175152,78482.722770615,78.0645161290322,79.6631751347339
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,46,10,67.3,14.9,52.4,28487.3362453605,5744.46096461726,22742.8752807432,77.8603268945022,79.8350364697478
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,47,10,167.2,33.5,133.7,96880.31442112,19700.5732311455,77179.7411899745,79.9641148325359,79.6650399527907
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,48,10,83,17.8,65.2,46392.7804048723,9563.75603473108,36829.0243701412,78.5542168674699,79.3852492752802
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,49,10,26.9,5.2,21.7,8447.52719408973,1814.96338465407,6632.56380943566,80.6691449814126,78.5148559696392
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,50,10,54.6,10.5,44.1,22700.9166606458,4395.07572036581,18305.84094028,80.7692307692308,80.6392147679873
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,51,10,144.7,27.9,116.8,73561.7240708861,13263.6138377896,60298.1102330965,80.7187284035936,81.9694086764355
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,52,10,104.8,23,81.8,28688.3511946866,5623.39801380193,23064.9531808847,78.0534351145038,80.3983227351056
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,53,10,32.4,6.7,25.7,15154.189650466,2840.16241409312,12314.0272363728,79.320987654321,81.2582363055896
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,54,10,106.3,22.1,84.2,52902.7371658155,10526.2555913489,42376.4815744666,79.2097836312324,80.1026257708444
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,55,10,107.5,20.5,87,55172.4868889462,10078.2920136222,45094.194875324,80.9302325581395,81.7331199264078
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,56,10,67.9,15.1,52.8,41861.6576112488,9284.69653995588,32576.9610712929,77.7614138438881,77.8205234341677
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,57,10,73.7,15.3,58.4,43358.016602121,9348.13761458231,34009.8789875387,79.2401628222524,78.4396558072147
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,58,10,87.2,18.9,68.3,47263.5082734257,9702.81072897518,37560.6975444505,78.3256880733945,79.4708199128107
