"scenario","particle_id","rep","eff_name","efficacy","doses_B","n_prevented_hcw"
"DRC",24,8,"obv_20",0.2,109,13
"DRC",24,9,"obv_20",0.2,201,34
"DRC",24,10,"obv_20",0.2,35,3
"DRC",25,1,"obv_20",0.2,323,73
"DRC",25,2,"obv_20",0.2,345,74
"DRC",25,3,"obv_20",0.2,14,1
"DRC",25,4,"obv_20",0.2,44,13
"DRC",25,5,"obv_20",0.2,17,2
"DRC",25,6,"obv_20",0.2,261,54
"DRC",25,7,"obv_20",0.2,12,1
"DRC",25,8,"obv_20",0.2,354,62
"DRC",25,9,"obv_20",0.2,264,56
"DRC",25,10,"obv_20",0.2,325,73
"DRC",26,1,"obv_20",0.2,102,23
"DRC",26,2,"obv_20",0.2,424,82
"DRC",26,3,"obv_20",0.2,424,82
"DRC",26,4,"obv_20",0.2,251,50
"DRC",26,5,"obv_20",0.2,276,60
"DRC",26,6,"obv_20",0.2,43,12
"DRC",26,7,"obv_20",0.2,13,4
"DRC",26,8,"obv_20",0.2,131,23
"DRC",26,9,"obv_20",0.2,39,12
"DRC",26,10,"obv_20",0.2,137,31
"DRC",27,1,"obv_20",0.2,32,9
"DRC",27,2,"obv_20",0.2,366,75
"DRC",27,3,"obv_20",0.2,301,62
"DRC",27,4,"obv_20",0.2,341,75
"DRC",27,5,"obv_20",0.2,143,28
"DRC",27,6,"obv_20",0.2,350,68
"DRC",27,7,"obv_20",0.2,186,38
"DRC",27,8,"obv_20",0.2,99,21
"DRC",27,9,"obv_20",0.2,32,6
"DRC",27,10,"obv_20",0.2,87,15
"DRC",28,1,"obv_20",0.2,82,19
"DRC",28,2,"obv_20",0.2,98,14
"DRC",28,3,"obv_20",0.2,246,46
"DRC",28,4,"obv_20",0.2,211,41
"DRC",28,5,"obv_20",0.2,84,13
"DRC",28,6,"obv_20",0.2,275,55
"DRC",28,7,"obv_20",0.2,67,14
"DRC",28,8,"obv_20",0.2,67,10
"DRC",28,9,"obv_20",0.2,95,22
"DRC",28,10,"obv_20",0.2,14,2
"DRC",29,1,"obv_20",0.2,80,11
"DRC",29,2,"obv_20",0.2,358,66
"DRC",29,3,"obv_20",0.2,82,11
"DRC",29,4,"obv_20",0.2,213,48
"DRC",29,5,"obv_20",0.2,12,3
"DRC",29,6,"obv_20",0.2,369,72
"DRC",29,7,"obv_20",0.2,388,81
"DRC",29,8,"obv_20",0.2,153,25
"DRC",29,9,"obv_20",0.2,146,27
"DRC",29,10,"obv_20",0.2,4,0
"DRC",30,1,"obv_20",0.2,83,11
"DRC",30,2,"obv_20",0.2,299,57
"DRC",30,3,"obv_20",0.2,326,70
"DRC",30,4,"obv_20",0.2,71,24
"DRC",30,5,"obv_20",0.2,269,53
"DRC",30,6,"obv_20",0.2,340,89
"DRC",30,7,"obv_20",0.2,55,10
"DRC",30,8,"obv_20",0.2,219,49
"DRC",30,9,"obv_20",0.2,348,77
"DRC",30,10,"obv_20",0.2,294,61
"DRC",31,1,"obv_20",0.2,31,5
"DRC",31,2,"obv_20",0.2,14,2
"DRC",31,3,"obv_20",0.2,13,3
"DRC",31,4,"obv_20",0.2,339,67
"DRC",31,5,"obv_20",0.2,311,54
"DRC",31,6,"obv_20",0.2,57,16
"DRC",31,7,"obv_20",0.2,20,5
"DRC",31,8,"obv_20",0.2,4,1
"DRC",31,9,"obv_20",0.2,356,80
"DRC",31,10,"obv_20",0.2,264,47
"DRC",32,1,"obv_20",0.2,211,38
"DRC",32,2,"obv_20",0.2,104,19
"DRC",32,3,"obv_20",0.2,39,10
"DRC",32,4,"obv_20",0.2,21,4
"DRC",32,5,"obv_20",0.2,304,62
"DRC",32,6,"obv_20",0.2,304,62
"DRC",32,7,"obv_20",0.2,78,20
"DRC",32,8,"obv_20",0.2,332,63
"DRC",32,9,"obv_20",0.2,160,34
"DRC",32,10,"obv_20",0.2,29,7
