"scenario","policy","dpc","supply_ratio","pct_averted_med","pct_averted_lo","pct_averted_hi"
"DRC","A",5,3.2,36.1864185745637,29.9717895220825,43.783739025354
"DRC","A",5,3.25,36.4509525639023,30.2600484539211,44.0551146826107
"DRC","A",5,3.3,36.8410053840021,30.5565948056489,44.2581764355978
"DRC","A",5,3.35,37.1685687933969,30.8554361155224,44.5284931852507
"DRC","A",5,3.4,37.4288671371469,31.1709365155593,44.9709167940308
"DRC","A",5,3.45,37.6265475471191,31.4992124722921,45.3580937667768
"DRC","A",5,3.5,37.8444679058056,31.792890760938,45.6420049459015
"DRC","B",0,0,26.9398825456349,21.5892793863998,34.3491088669451
"DRC","B",0,0.05,26.9398825456349,21.5892793863998,34.3491088669451
"DRC","B",0,0.1,26.9398825456349,21.5892793863998,34.3491088669451
"DRC","B",0,0.15,26.9398825456349,21.5892793863998,34.3491088669451
"DRC","B",0,0.2,26.9398825456349,21.5892793863998,34.3491088669451
"DRC","B",0,0.25,26.9398825456349,21.5892793863998,34.3491088669451
"DRC","B",0,0.3,26.9398825456349,22.4538609595072,34.3491088669451
"DRC","B",0,0.35,26.9749593024572,24.0194584045284,34.3491088669451
"DRC","B",0,0.4,28.2934809122512,25.3118509857586,34.3491088669451
"DRC","B",0,0.45,30.3222842294412,27.2049447819722,34.3491088669451
"DRC","B",0,0.5,31.9380423292658,28.7914175545401,36.2323294141029
"DRC","B",0,0.55,33.8199198077597,30.5755751707677,37.4352107485113
"DRC","B",0,0.6,35.905010995388,32.2876324737767,39.5251460753876
"DRC","B",0,0.65,37.6481340644808,34.1396512393836,41.1475622508532
"DRC","B",0,0.7,39.2563014277792,35.8068443206652,43.1849342640814
"DRC","B",0,0.75,40.881624419354,37.4422447334999,45.2879221388445
"DRC","B",0,0.8,42.7593158571076,39.0953580225955,47.3573828789295
"DRC","B",0,0.85,44.5378297582479,40.6879884196836,49.0479742985416
"DRC","B",0,0.9,46.1521842910124,42.0980158166191,50.8649097033601
"DRC","B",0,0.95,47.5541036409241,43.6077086943052,52.5376594481904
"DRC","B",0,1,49.1419919446064,45.2119187244897,54.1479703924329
"DRC","B",0,1.05,50.7116671687621,46.5993179562588,55.5688006098463
"DRC","B",0,1.1,52.0579755513551,47.9542316011516,57.1342871957126
"DRC","B",0,1.15,53.4491091916068,49.0686243495039,58.7824444748853
"DRC","B",0,1.2,55.1424427303931,50.1832678904022,60.0342331664859
"DRC","B",0,1.25,56.3936281691693,51.3034238566088,61.4130090198821
"DRC","B",0,1.3,57.6685686181955,52.1951493109319,62.8812484675493
"DRC","B",0,1.35,58.877902444552,53.2774806939261,64.254815582409
"DRC","B",0,1.4,60.2843269169483,54.4516562645433,65.3037995309965
"DRC","B",0,1.45,61.5610194460271,55.6475941623291,66.2256607699632
"DRC","B",0,1.5,62.6166008449553,56.8528031308314,67.7417545331465
"DRC","B",0,1.55,63.646119563264,57.7805678872946,69.2929435202568
"DRC","B",0,1.6,64.7619865539524,58.6794964125212,70.502321551333
"DRC","B",0,1.65,66.0676219261673,59.5795242333927,71.6469605365918
"DRC","B",0,1.7,67.1319826218752,60.5177209677935,72.6841903471136
"DRC","B",0,1.75,68.0652019231649,61.5508363021896,73.6807692256715
"DRC","B",0,1.8,68.9102918516288,62.415441264058,74.4634395292147
"DRC","B",0,1.85,69.8678364129645,63.1908103403627,75.3927035412425
"DRC","B",0,1.9,70.7517192725159,64.2761288497613,76.5870475133755
"DRC","B",0,1.95,71.6150747914474,65.0192699494725,77.3928540108786
"DRC","B",0,2,72.2897593088617,65.977585648859,78.2735248791802
"DRC","B",0,2.05,73.255774866928,66.8100971652965,79.1802561749373
"DRC","B",0,2.1,74.0937171260167,67.5672053437452,79.9416694180063
"DRC","B",0,2.15,75.0639377410186,68.3894287171447,80.4397891433259
"DRC","B",0,2.2,76.0767134686316,69.236635996465,81.09980797183
"DRC","B",0,2.25,76.9086952558247,70.0852898121228,81.3866183024027
"DRC","B",0,2.3,77.5186771861505,70.6403111172073,81.5872643189482
"DRC","B",0,2.35,78.026235287612,71.4218032626893,81.8174070347235
"DRC","B",0,2.4,78.5570887262773,72.4960724004901,82.0091116607595
"DRC","B",0,2.45,79.0143657005272,73.2743429391953,82.1548066644713
"DRC","B",0,2.5,79.4859173469145,74.0101717190669,82.278035354612
"DRC","B",0,2.55,80.2785781264984,74.5505769520439,82.3423366503537
"DRC","B",0,2.6,80.8058797134731,75.0839335281488,82.3423366503537
"DRC","B",0,2.65,81.1110369527174,75.6148913631616,82.3423366503537
"DRC","B",0,2.7,81.313950310935,76.2045639482078,82.3423366503537
"DRC","B",0,2.75,81.6056959441874,76.6367748566301,82.3423366503537
"DRC","B",0,2.8,81.7843427910679,77.3411534668111,82.3423366503537
"DRC","B",0,2.85,81.9025534158383,77.8176006077256,82.3423366503537
"DRC","B",0,2.9,82.2104964560214,78.3318481071924,82.3423366503537
"DRC","B",0,2.95,82.2533619139271,78.946188451805,82.3423366503537
"DRC","B",0,3,82.3423366503537,79.3337779200628,82.3423366503537
