"scenario","particle_id","arm","pct_hcw_deaths_averted","pct_days_lost_averted","n_hcw_deaths","condition"
"DRC",45,"with_conflict_mid",33.5854765506808,35.5226864392904,43.9,"baseline"
"DRC",46,"with_conflict_hi",36.0406091370558,32.6417178246504,25.2,"baseline"
"DRC",46,"with_conflict_lo",23.3252623083132,23.9659791064426,95,"baseline"
"DRC",46,"with_conflict_mid",25.1930501930502,31.4956682930557,77.5,"baseline"
"DRC",47,"with_conflict_hi",26.232741617357,32.0444486889647,37.4,"baseline"
"DRC",47,"with_conflict_lo",19.8174706649283,27.425156438076,61.5,"baseline"
"DRC",47,"with_conflict_mid",28.2093213409648,37.6257151378529,87.8,"baseline"
"DRC",48,"with_conflict_hi",32.3144104803493,33.7519762417297,31,"baseline"
"DRC",48,"with_conflict_lo",28.3464566929134,27.0269037238985,18.2,"baseline"
"DRC",48,"with_conflict_mid",36.8286445012788,36.071132059335,24.7,"baseline"
"DRC",49,"with_conflict_hi",29.4117647058824,32.9963835597918,32.4,"baseline"
"DRC",49,"with_conflict_lo",23.134328358209,27.2149772503666,51.5,"baseline"
"DRC",49,"with_conflict_mid",28.5714285714286,29.8807628700486,34,"baseline"
"DRC",50,"with_conflict_hi",37.7005347593583,33.6506984917036,23.3,"baseline"
"DRC",50,"with_conflict_lo",16.8126094570928,23.5756068514932,95,"baseline"
"DRC",50,"with_conflict_mid",33.3333333333333,31.697232652183,15.8,"baseline"
"DRC",51,"with_conflict_hi",33.1592689295039,31.5955480833723,51.2,"baseline"
"DRC",51,"with_conflict_lo",27.112676056338,27.8618377500699,103.5,"baseline"
"DRC",51,"with_conflict_mid",26.2476894639556,29.4677909045917,79.8,"baseline"
"DRC",52,"with_conflict_hi",28.9612676056338,30.7209945037505,80.7,"baseline"
"DRC",52,"with_conflict_lo",13.9282735613011,21.4831439974876,103.2,"baseline"
"DRC",52,"with_conflict_mid",31.810766721044,35.5172042515067,41.8,"baseline"
"DRC",53,"with_conflict_hi",30.2405498281787,27.3901203747476,20.3,"baseline"
"DRC",53,"with_conflict_lo",19.7784810126582,22.5794024981093,50.7,"baseline"
"DRC",53,"with_conflict_mid",29.4403892944039,31.7094393849613,29,"baseline"
"DRC",54,"with_conflict_hi",26.4683447749809,29.9018410708832,96.4,"baseline"
"DRC",54,"with_conflict_lo",16.6219839142091,20.470195205537,62.2,"baseline"
"DRC",54,"with_conflict_mid",27.7948717948718,31.0691733060316,70.4,"baseline"
"DRC",55,"with_conflict_hi",34.6801346801347,29.9440506868454,19.4,"baseline"
"DRC",55,"with_conflict_lo",22.0472440944882,25.2460590659077,49.5,"baseline"
"DRC",55,"with_conflict_mid",25.3223915592028,29.740637312759,63.7,"baseline"
"DRC",56,"with_conflict_hi",27.4900398406375,31.6797527590917,72.8,"baseline"
"DRC",56,"with_conflict_lo",21.3467048710602,26.0741081858737,54.9,"baseline"
"DRC",56,"with_conflict_mid",25.6787330316742,30.5552192644691,65.7,"baseline"
"DRC",57,"with_conflict_hi",35.7487922705314,41.4622560389436,39.9,"baseline"
"DRC",57,"with_conflict_lo",25.050916496945,26.7830173223843,36.8,"baseline"
"DRC",57,"with_conflict_mid",27.9106858054226,31.6719319139768,45.2,"baseline"
"DRC",58,"with_conflict_hi",34.9157733537519,40.3781589472482,42.5,"baseline"
"DRC",58,"with_conflict_lo",27.5641025641026,29.6440875422013,56.5,"baseline"
"DRC",58,"with_conflict_mid",31.0185185185185,32.6891702862988,29.8,"baseline"
"DRC",59,"with_conflict_hi",35,33.9461467664426,14.3,"baseline"
"DRC",59,"with_conflict_lo",20.4884667571235,23.3030065512683,58.6,"baseline"
"DRC",59,"with_conflict_mid",30.0518134715026,29.4064766091509,40.5,"baseline"
"DRC",60,"with_conflict_hi",31.7676143386897,29.7792017975289,55.2,"baseline"
"DRC",60,"with_conflict_lo",15.7757496740548,19.3910446685411,64.6,"baseline"
"DRC",60,"with_conflict_mid",29.0423861852433,28.5731602928849,45.2,"baseline"
"DRC",61,"with_conflict_hi",29.8586572438163,29.6963150307708,79.4,"baseline"
"DRC",61,"with_conflict_lo",27.6672694394213,25.8413961040829,40,"baseline"
"DRC",61,"with_conflict_mid",30.5997552019584,33.669952012252,56.7,"baseline"
"DRC",62,"with_conflict_hi",29.6470588235294,37.9107121594819,59.8,"baseline"
"DRC",62,"with_conflict_lo",21.5130023640662,21.0287636953499,33.2,"baseline"
"DRC",62,"with_conflict_mid",27.7867528271405,35.1244676572414,44.7,"baseline"
"DRC",63,"with_conflict_hi",34.7826086956522,34.6640141412641,30,"baseline"
"DRC",63,"with_conflict_lo",22.8947368421053,25.7168134761444,58.6,"baseline"
"DRC",63,"with_conflict_mid",26.6666666666667,32.6777838480081,29.7,"baseline"
"DRC",64,"with_conflict_hi",25.6326530612245,27.2643992071558,91.1,"baseline"
"DRC",64,"with_conflict_lo",20.6239168110919,31.8896753490343,45.8,"baseline"
"DRC",64,"with_conflict_mid",32.5477707006369,35.34807315359,105.9,"baseline"
