"scenario","arm","week","metric","n","q025","q25","q50","q75","q975","method","iqr_width","ci95_width"
"DRC","baseline",44.5,"hcw_deaths_incidence",200,0.1,0.9,1.8,2.5,4.8025,"mean_first",1.6,4.7025
"DRC","baseline",44.5,"infections",200,11.8775,62.425,103.05,148.925,281.28,"mean_first",86.5,269.4025
"DRC","baseline",45.5,"deaths",200,6.685,36.5,62.25,89.225,167.4725,"mean_first",52.725,160.7875
"DRC","baseline",45.5,"hcw_deaths",200,18.8825,30.05,39.3,50.65,69.13,"mean_first",20.6,50.2475
"DRC","baseline",45.5,"hcw_deaths_incidence",200,0.1,0.8,1.5,2.3,4.5075,"mean_first",1.5,4.4075
"DRC","baseline",45.5,"infections",200,14.5825,53.5,90,127.2,244.32,"mean_first",73.7,229.7375
"DRC","baseline",46.5,"deaths",200,6.4,34.425,56.95,81.225,161.0575,"mean_first",46.8,154.6575
"DRC","baseline",46.5,"hcw_deaths",200,19.5775,31.075,40.95,53.4,74.0925,"mean_first",22.325,54.515
"DRC","baseline",46.5,"hcw_deaths_incidence",200,0.2,1.1,1.8,2.8,5.9,"mean_first",1.7,5.7
"DRC","baseline",46.5,"infections",200,11.0325,49.95,76.1,112.775,218.3075,"mean_first",62.825,207.275
"DRC","baseline",47.5,"deaths",200,6.475,30.475,51.1,72.2,145.5075,"mean_first",41.725,139.0325
"DRC","baseline",47.5,"hcw_deaths",200,20.0975,32.25,42.95,55.625,79.535,"mean_first",23.375,59.4375
"DRC","baseline",47.5,"hcw_deaths_incidence",200,0.2,1.175,1.9,2.925,5.605,"mean_first",1.75,5.405
"DRC","baseline",47.5,"infections",200,9.96,43.85,70.1,100.4,197.9175,"mean_first",56.55,187.9575
"DRC","baseline",48.5,"deaths",200,7.9275,27.7,43.95,66.175,122.075,"mean_first",38.475,114.1475
"DRC","baseline",48.5,"hcw_deaths",200,20.7875,33.625,45.15,58.575,84.505,"mean_first",24.95,63.7175
"DRC","baseline",48.5,"hcw_deaths_incidence",200,0.2,1.075,1.8,2.9,5.505,"mean_first",1.825,5.305
"DRC","baseline",48.5,"infections",200,8.88,39.375,62.85,83.75,165.7925,"mean_first",44.375,156.9125
"DRC","baseline",49.5,"deaths",200,6.6475,25.775,41.3,58.425,109.495,"mean_first",32.65,102.8475
"DRC","baseline",49.5,"hcw_deaths",200,21.2,34.675,46.55,61.225,88.04,"mean_first",26.55,66.84
"DRC","baseline",49.5,"hcw_deaths_incidence",200,0.2,0.9,1.7,2.525,5.1075,"mean_first",1.625,4.9075
"DRC","baseline",49.5,"infections",200,6.88,35.3,55.05,76.85,149.065,"mean_first",41.55,142.185
"DRC","baseline",50.5,"deaths",200,4.1,22.175,35.4,48.7,97.4375,"mean_first",26.525,93.3375
"DRC","baseline",50.5,"hcw_deaths",200,21.69,35.275,48.2,63.15,91.2375,"mean_first",27.875,69.5475
