"scenario","arm","particle_id","cum_hcw_deaths"
"WestAfrica","obv",168,48.4
"WestAfrica","obv",169,132.1
"WestAfrica","obv",170,46
"WestAfrica","obv",171,132.6
"WestAfrica","obv",172,135.2
"WestAfrica","obv",173,70.9
"WestAfrica","obv",174,59.5
"WestAfrica","obv",175,118.6
"WestAfrica","obv",176,112.6
"WestAfrica","obv",177,62.7
"WestAfrica","obv",178,109.2
"WestAfrica","obv",179,122.8
"WestAfrica","obv",180,108.8
"WestAfrica","obv",181,65.9
"WestAfrica","obv",182,159.5
"WestAfrica","obv",183,132.7
"WestAfrica","obv",184,113.6
"WestAfrica","obv",185,206.6
"WestAfrica","obv",186,132.3
"WestAfrica","obv",187,207.9
"WestAfrica","obv",188,116.6
"WestAfrica","obv",189,40.2
"WestAfrica","obv",190,87.4
"WestAfrica","obv",191,39.1
"WestAfrica","obv",192,99.8
"WestAfrica","obv",193,94.6
"WestAfrica","obv",194,156.6
"WestAfrica","obv",195,146.4
"WestAfrica","obv",196,54.3
"WestAfrica","obv",197,105.2
"WestAfrica","obv",198,139.1
"WestAfrica","obv",199,146.7
"WestAfrica","obv",200,48.3
