"scenario","particle_id","eff_name","efficacy","doses_B","n_prevented_hcw","ppe_efficacy","averted","base_pool","dda_B","dda_A","scenario_label"
"DRC",22,"obv_60",0.6,239,126,0.892508224278437,75.6,2223.42591696582,63.2275132275132,588.207914541221,"DRC (Middle, PlusPlus)"
"DRC",22,"obv_70",0.7,122,75,0.892508224278437,52.5,1134.97055175661,46.4761904761905,432.369734002518,"DRC (Middle, PlusPlus)"
"DRC",22,"obv_80",0.8,125,93,0.892508224278437,74.4,1162.87966368505,33.6021505376344,312.60206013039,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_20",0.2,398,64,0.588839024463126,12.8,967.990698728913,621.875,1512.48546676393,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_30",0.3,329,101,0.588839024463126,30.3,800.173215783448,217.161716171617,528.167139130989,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_40",0.4,14,3,0.588839024463126,1.2,34.0499240758914,233.333333333333,567.49873459819,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_50",0.5,12,7,0.588839024463126,3.5,29.1856492079069,68.5714285714286,166.775138330897,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_60",0.6,361,225,0.588839024463126,135,878.001613671199,53.4814814814815,130.074313136474,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_70",0.7,52,41,0.588839024463126,28.7,126.471146567597,36.2369337979094,88.1332031829942,"DRC (Middle, PlusPlus)"
"DRC",23,"obv_80",0.8,12,9,0.588839024463126,7.2,29.1856492079069,33.3333333333333,81.0712477997414,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_20",0.2,30,8,0.827573386229451,1.6,173.987062344804,375,2174.83827931005,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_30",0.3,112,44,0.827573386229451,13.2,649.551699420603,169.69696969697,984.169241546368,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_40",0.4,10,2,0.827573386229451,0.8,57.9956874482681,250,1449.8921862067,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_50",0.5,12,4,0.827573386229451,2,69.5948249379217,120,695.948249379217,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_60",0.6,30,20,0.827573386229451,12,173.987062344804,50,289.97843724134,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_70",0.7,177,119,0.827573386229451,83.3,1026.52366783435,42.4969987995198,246.464265986638,"DRC (Middle, PlusPlus)"
"DRC",24,"obv_80",0.8,27,18,0.827573386229451,14.4,156.588356110324,37.5,217.483827931005,"DRC (Middle, PlusPlus)"
"DRC",25,"obv_20",0.2,195.9,40.9,0.352938225650796,8.18,302.753164791771,478.973105134474,740.227786776945,"DRC (Middle, PlusPlus)"
"DRC",25,"obv_30",0.3,120.5,36.1,0.352938225650796,10.83,186.226423468139,222.53000923361,343.90844592454,"DRC (Middle, PlusPlus)"
