"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost"
"DRC",90,7,"obv_60",26,11904.6741128337,63,37,28950.4949909068
"DRC",90,8,"obv_60",7,2452.50079137032,22,15,7604.93381733344
"DRC",90,9,"obv_60",2,229.201538010406,2,0,229.201538010406
"DRC",90,10,"obv_60",2,229.201538010406,2,0,229.201538010406
"DRC",91,1,"obv_60",54,33598.9063383274,165,111,100638.944520977
"DRC",91,2,"obv_60",4,834.44253080207,10,6,1790.5482629637
"DRC",91,3,"obv_60",4,834.44253080207,10,6,1790.5482629637
"DRC",91,4,"obv_60",17,2831.22608839104,38,21,5553.40042676826
"DRC",91,5,"obv_60",3,1465.39570211477,18,15,4472.12103769241
"DRC",91,6,"obv_60",3,1465.39570211477,18,15,4472.12103769241
"DRC",91,7,"obv_60",7,1101.74730334235,16,9,2372.74024204798
"DRC",91,8,"obv_60",22,15230.5830832704,60,38,43820.6979983564
"DRC",91,9,"obv_60",76,17315.2546364364,200,124,41317.4177823539
"DRC",91,10,"obv_60",15,2857.69860322397,33,18,6444.35483088859
"DRC",92,1,"obv_60",1,142.588663131026,7,6,1088.03959130227
"DRC",92,2,"obv_60",22,7219.27481896279,56,34,18180.6810151665
"DRC",92,3,"obv_60",21,13524.4697068538,41,20,26884.5855931424
"DRC",92,4,"obv_60",76,18468.2195132463,172,96,42081.9866910531
"DRC",92,5,"obv_60",3,664.297766038593,7,4,1421.40825725686
"DRC",92,6,"obv_60",74,43793.1152967644,176,102,109399.746420409
"DRC",92,7,"obv_60",54,38566.3346118538,135,81,102065.020038597
"DRC",92,8,"obv_60",0,198.845922821974,3,3,475.769830600729
"DRC",92,9,"obv_60",5,660.12313636612,13,8,2413.59666998911
"DRC",92,10,"obv_60",52,26870.2897645145,121,69,62441.9367003603
"DRC",93,1,"obv_60",8,1479.86155907618,18,10,4403.14133597848
"DRC",93,2,"obv_60",22,9349.39274209935,55,33,21078.3305885792
"DRC",93,3,"obv_60",6,3118.54038103156,18,12,5321.24697050603
"DRC",93,4,"obv_60",13,2751.48391578789,27,14,6858.01291966588
"DRC",93,5,"obv_60",13,2751.48391578789,27,14,6858.01291966588
"DRC",93,6,"obv_60",31,16623.6561629961,84,53,48393.9163656559
"DRC",93,7,"obv_60",6,2245.32582832023,17,11,5229.73684029142
"DRC",93,8,"obv_60",0,0,2,2,775.106963073133
"DRC",93,9,"obv_60",4,807.245135584891,10,6,1849.22562952301
"DRC",93,10,"obv_60",68,18155.601913814,181,113,43832.7556271104
"DRC",94,1,"obv_60",6,1853.16681618673,17,11,5330.69980421142
"DRC",94,2,"obv_60",30,13110.2157755663,63,33,27827.5106398052
"DRC",94,3,"obv_60",2,575.485749258027,7,5,1637.86306040713
"DRC",94,4,"obv_60",15,7680.81780108452,46,31,20869.2425745698
"DRC",94,5,"obv_60",26,12839.5327976822,70,44,36936.8574174493
"DRC",94,6,"obv_60",26,12839.5327976822,70,44,36936.8574174493
"DRC",94,7,"obv_60",4,588.026898785581,6,2,830.287768862758
"DRC",94,8,"obv_60",16,10464.5813585152,31,15,23779.5899128552
"DRC",94,9,"obv_60",64,51383.4279698296,193,129,142114.512505474
"DRC",94,10,"obv_60",26,5719.18338660599,48,22,10852.6739462281
"DRC",95,1,"obv_60",11,2017.29434107602,19,8,4191.74113900347
"DRC",95,2,"obv_60",3,472.848329685031,11,8,2062.39328482863
"DRC",95,3,"obv_60",2,310.148242777991,5,3,922.473634900956
"DRC",95,4,"obv_60",2,310.148242777991,5,3,922.473634900956
"DRC",95,5,"obv_60",32,17902.3158901372,86,54,47548.5353509152
"DRC",95,6,"obv_60",0,0,1,1,84.9889863345034
"DRC",95,7,"obv_60",5,1303.75262620946,11,6,2662.92406219318
"DRC",95,8,"obv_60",2,246.797883104302,6,4,853.729363567884
"DRC",95,9,"obv_60",63,25115.6762242962,171,108,66373.6186986138
"DRC",95,10,"obv_60",2,236.136826641927,7,5,1426.60584733723
"DRC",96,1,"obv_60",88,34278.4452416602,248,160,96812.3691266621
"DRC",96,2,"obv_60",84,23094.2069644447,221,137,61806.9604508549
"DRC",96,3,"obv_60",86,22711.1443719846,223,137,58302.2778738494
"DRC",96,4,"obv_60",61,31619.8434185275,139,78,65052.733396156
"DRC",96,5,"obv_60",90,20300.0286921492,217,127,51395.2473006892
"DRC",96,6,"obv_60",9,2140.58041999793,20,11,4922.94651290391
"DRC",96,7,"obv_60",16,3342.98451982778,49,33,9045.48999877152
"DRC",96,8,"obv_60",5,628.49147952052,9,4,1029.26628199411
"DRC",96,9,"obv_60",13,2615.58358353813,35,22,7620.84673499883
"DRC",96,10,"obv_60",8,578.658397917426,15,7,1390.33356284874
"DRC",97,1,"obv_60",2,392.040140794675,5,3,1130.65861030855
