"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi","pct_averted_med","pct_averted_lo","pct_averted_hi","supply_ratio_med"
"WestAfrica","A",5,59000,221.226759003013,110.879917765365,355.162236592186,53.3076527718103,33.0569170474342,53.3076527718103,2.56410304838892
"WestAfrica","A",5,60000,223.892141641603,111.279725161154,356.228389647622,53.3076527718103,33.5899895661995,53.3076527718103,2.60756242209043
"WestAfrica","A",5,61000,228.423292127207,111.279725161154,356.228389647622,53.3076527718103,34.1859335528167,53.3076527718103,2.65102179579194
"WestAfrica","A",5,62000,230.822136501938,112.212609084661,358.627234022354,53.3076527718103,34.7799426501528,53.3076527718103,2.69448116949345
"WestAfrica","A",5,63000,230.822136501938,113.012223876238,362.35876971638,53.3076527718103,35.2642270825185,53.3076527718103,2.73794054319495
"WestAfrica","A",5,64000,232.154827821234,113.012223876238,367.023189333914,53.3076527718103,35.7797068246763,53.3076527718103,2.78139991689646
"WestAfrica","A",5,65000,235.086748723683,113.012223876238,368.622418917068,53.3076527718103,36.2303247733384,53.3076527718103,2.82485929059797
"WestAfrica","A",5,66000,238.551746153851,113.145493008167,371.0212632918,53.3076527718103,36.8065217611155,53.3076527718103,2.86831866429947
"WestAfrica","A",5,67000,241.75020532016,113.412031272026,373.420107666531,53.3076527718103,37.1806698838476,53.3076527718103,2.91177803800098
"WestAfrica","A",5,68000,245.481741014186,115.27779911904,376.885105096699,53.3076527718103,37.8011401631377,53.3076527718103,2.95523741170249
"WestAfrica","A",5,69000,248.413661916636,116.743759570265,380.483371658796,53.3076527718103,38.3652509184966,53.3076527718103,2.998696785404
"WestAfrica","A",5,70000,252.145197610663,117.676643493771,383.681830825104,53.3076527718103,38.9606262376585,53.3076527718103,3.0421561591055
"WestAfrica","A",5,71000,253.744427193817,118.476258285348,388.746057838426,53.3076527718103,39.5355170923886,53.3076527718103,3.08561553280701
"WestAfrica","A",5,72000,254.810580249253,118.876065681137,395.542783566832,53.3076527718103,40.0085297129487,53.3076527718103,3.12907490650852
"WestAfrica","A",5,73000,255.077118513112,119.009334813066,398.208166205423,53.3076527718103,40.5482909559776,53.3076527718103,3.17253428021003
"WestAfrica","A",5,74000,256.143271568548,120.208757000432,400.207203184366,53.3076527718103,41.0086112704965,53.3076527718103,3.21599365391153
"WestAfrica","A",5,75000,256.676348096266,121.807986583586,402.072971031379,53.3076527718103,41.5220220747196,53.3076527718103,3.25945302761304
"WestAfrica","A",5,76000,258.009039415562,123.807023562529,403.538931482604,53.3076527718103,42.0128321909825,53.3076527718103,3.30291240131455
"WestAfrica","A",5,77000,259.075192470998,125.406253145684,403.538931482604,53.3076527718103,42.5757513479911,53.3076527718103,3.34637177501605
"WestAfrica","A",5,78000,260.141345526434,125.806060541472,403.538931482604,53.3076527718103,43.2262807535914,53.3076527718103,3.38983114871756
"WestAfrica","A",5,79000,260.407883790293,125.939329673402,404.73835366997,53.3076527718103,43.828798057124,53.3076527718103,3.43329052241907
"WestAfrica","A",5,80000,262.273651637307,126.072598805331,409.935849815221,53.3076527718103,44.2943060678569,53.3076527718103,3.47674989612058
"WestAfrica","A",5,81000,263.872881220461,126.205867937261,411.002002870657,53.3076527718103,44.9043062596744,53.3076527718103,3.52020926982208
"WestAfrica","A",5,82000,264.13941948432,126.738944464979,411.135272002587,53.3076527718103,45.479344523678,53.3076527718103,3.56366864352359
"WestAfrica","A",5,83000,264.13941948432,127.005482728838,411.135272002587,53.3076527718103,45.8423555745538,53.3076527718103,3.6071280172251
