"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","baseline",71.5,"deaths",0,1.9,4.35,6.775,16.3125
"DRC","baseline",71.5,"hcw_deaths",18.9125,44.45,60.65,80.6,122.85
"DRC","baseline",71.5,"hcw_deaths_incidence",0,0,0.1,0.3,0.925
"DRC","baseline",71.5,"infections",0,2.8,6.65,10.425,29.325
"DRC","baseline",72.5,"deaths",0,1.975,4,6.625,15.6625
"DRC","baseline",72.5,"hcw_deaths",18.9125,44.65,60.9,81,122.975
"DRC","baseline",72.5,"hcw_deaths_incidence",0,0,0.1,0.3,0.7125
"DRC","baseline",72.5,"infections",0,2.2,6.1,10.625,26.3625
"DRC","baseline",73.5,"deaths",0,1.4,3.85,5.95,14.875
"DRC","baseline",73.5,"hcw_deaths",18.9125,44.975,61.05,81.45,123.2625
"DRC","baseline",73.5,"hcw_deaths_incidence",0,0,0.1,0.3,0.8125
"DRC","baseline",73.5,"infections",0,1.9,5.2,10,24.05
"DRC","baseline",74.5,"deaths",0,1.175,3.4,5.9,14.675
"DRC","baseline",74.5,"hcw_deaths",18.9125,45.45,61.2,81.925,123.75
"DRC","baseline",74.5,"hcw_deaths_incidence",0,0,0.1,0.3,0.7125
"DRC","baseline",74.5,"infections",0,1.7,4.65,8.625,23.0125
"DRC","baseline",75.5,"deaths",0,1.175,3.05,5.4,13.9875
"DRC","baseline",75.5,"hcw_deaths",18.9125,45.65,61.2,82.3,124.325
"DRC","baseline",75.5,"hcw_deaths_incidence",0,0,0.1,0.2,0.7
"DRC","baseline",75.5,"infections",0,1.2,4.6,8.225,20.275
"DRC","baseline",76.5,"deaths",0,0.9,2.5,5.2,12.1
"DRC","baseline",76.5,"hcw_deaths",18.9125,45.775,61.3,82.575,124.7875
"DRC","baseline",76.5,"hcw_deaths_incidence",0,0,0.1,0.2,0.8
"DRC","baseline",76.5,"infections",0,0.9,3.65,8.15,18.4125
"DRC","baseline",77.5,"deaths",0,0.7,2.45,4.7,11.25
"DRC","baseline",77.5,"hcw_deaths",18.9125,45.875,61.3,82.7,124.9625
"DRC","baseline",77.5,"hcw_deaths_incidence",0,0,0.1,0.2,0.7
"DRC","baseline",77.5,"infections",0,0.5,3.4,7.05,16.5375
"DRC","baseline",78.5,"deaths",0,0.5,2.2,4.3,10.525
"DRC","baseline",78.5,"hcw_deaths",18.9125,46.025,61.35,83.05,125.175
"DRC","baseline",78.5,"hcw_deaths_incidence",0,0,0.1,0.2,0.6
"DRC","baseline",78.5,"infections",0,0.275,2.85,6.375,18.725
"DRC","baseline",79.5,"deaths",0,0.3,1.95,4.075,9.4625
"DRC","baseline",79.5,"hcw_deaths",18.9125,46.05,61.4,83.125,125.625
"DRC","baseline",79.5,"hcw_deaths_incidence",0,0,0,0.2,0.5
"DRC","baseline",79.5,"infections",0,0.1,2.55,5.925,16.9125
"DRC","obv",0.5,"deaths",0,0,0.1,0.1,0.3
"DRC","obv",0.5,"hcw_deaths",0,0,0,0,0
