"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",117,"dpc_conflict_hi",16.8,74797.1399826718,231,399,167056.586344207,57.8947368421053,55.226464505531
"DRC",117,"dpc_conflict_lo",10.5,44590.8277994474,75,180,75173.3352374985,41.6666666666667,40.6826534188358
"DRC",117,"dpc_conflict_mid",19.6,97752.5396748566,258,454,224948.044734979,56.8281938325991,56.5443923773497
"DRC",117,"no_pep",65.3,336955.548571051,0,653,336955.548571051,0,0
"DRC",117,"optimistic_hi",4.9,17988.7234372181,181,230,83184.4878271694,78.695652173913,78.3749062991253
"DRC",117,"optimistic_lo",13.5,59385.839750051,607,742,338108.709363594,81.8059299191375,82.43587399395
"DRC",117,"optimistic_mid",9.4,42635.4203185841,365,459,244523.24413183,79.520697167756,82.5638578982708
"DRC",117,"with_conflict_hi",17.2,86898.2064890346,113,285,133733.474752954,39.6491228070175,35.0213500026364
"DRC",117,"with_conflict_lo",28.4,130838.156116817,156,440,198098.644479619,35.4545454545455,33.9530280681562
"DRC",117,"with_conflict_mid",29,73707.4860947302,95,385,99690.3605132718,24.6753246753247,26.0635775462789
"DRC",118,"cov_conflict_hi",7,1409.31860574999,4,11,2361.15246214434,36.3636363636364,40.312257325811
"DRC",118,"cov_conflict_lo",41.3333333333333,78735.973969431,73,321,104486.388380515,22.7414330218069,24.6447549869435
"DRC",118,"cov_conflict_mid",28.6,131740.174768823,137,423,194034.383934195,32.387706855792,32.1047269573098
"DRC",118,"dpc_conflict_hi",49,42276.7019025203,59,108,90760.9792943371,54.6296296296296,53.419738051286
"DRC",118,"dpc_conflict_lo",26,12418.3630355245,24,50,21611.1835193813,48,42.5373301541423
"DRC",118,"dpc_conflict_mid",46,21520.2131794376,70,116,49745.2466093362,60.3448275862069,56.7391567109074
"DRC",118,"no_pep",70.6,468674.644984115,0,706,468674.644984115,0,0
"DRC",118,"optimistic_hi",5,2176.56652687092,13,18,8101.02902289894,72.2222222222222,73.1322215891527
"DRC",118,"optimistic_lo",39,6421.25461489275,180,219,39343.0772722328,82.1917808219178,83.678819604117
"DRC",118,"optimistic_mid",21,11492.9711929104,112,133,71396.4143450905,84.2105263157895,83.9025932908062
"DRC",118,"with_conflict_hi",24.7,124072.919732813,97,344,166210.592213557,28.1976744186047,25.3519778249768
"DRC",118,"with_conflict_lo",52.2,333214.46858412,216,738,467761.942901356,29.2682926829268,28.7640917263783
"DRC",118,"with_conflict_mid",73.2,489765.175991235,261,993,673374.006361539,26.2839879154079,27.2669910979194
"DRC",119,"cov_conflict_hi",67.4,334897.090003816,360,1034,531207.049244232,34.816247582205,36.9554507079138
"DRC",119,"cov_conflict_lo",33.2,142518.459218909,144,476,227877.534819224,30.2521008403361,37.4583109598897
"DRC",119,"cov_conflict_mid",43.1,188110.446585575,209,640,285676.507248336,32.65625,34.1526370517919
"DRC",119,"dpc_conflict_hi",30.7,184791.356241973,436,743,451193.875668066,58.6810228802153,59.0439130033937
"DRC",119,"dpc_conflict_lo",16.6,63357.4665006706,219,385,128632.447271935,56.8831168831169,50.745346260318
"DRC",119,"dpc_conflict_mid",34.1,226039.490588414,546,887,594200.814117237,61.5558060879369,61.9590742358331
"DRC",119,"no_pep",53.3,220726.940948573,0,533,220726.940948573,0,0
"DRC",119,"optimistic_hi",4.8,29753.8783498931,226,274,168207.975477864,82.4817518248175,82.3112558929712
"DRC",119,"optimistic_lo",6.8,37527.6280378202,294,362,202779.60606001,81.2154696132597,81.4933913883261
"DRC",119,"optimistic_mid",10.7,79526.4168324202,509,616,416519.169792181,82.6298701298701,80.9069011464468
"DRC",119,"with_conflict_hi",37.4,164351.214018981,170,544,256317.409950781,31.25,35.8798085348398
"DRC",119,"with_conflict_lo",39.3,213721.805679884,199,592,314404.954296628,33.6148648648649,32.0233976089811
"DRC",119,"with_conflict_mid",33.3,85225.9008171916,97,430,126925.153265893,22.5581395348837,32.8534190235299
"DRC",120,"cov_conflict_hi",6,1883.37528761863,8,14,2745.28901653267,57.1428571428571,31.3961016025426
"DRC",120,"cov_conflict_lo",61,34510.7675871426,25,86,53256.4234675693,29.0697674418605,35.1988636485174
"DRC",120,"cov_conflict_mid",120,88727.6735687026,90,210,132576.945724325,42.8571428571429,33.0745831532433
"DRC",120,"dpc_conflict_hi",15,3246.86533355094,11,26,5095.81792638381,42.3076923076923,36.2837255872083
"DRC",120,"dpc_conflict_lo",70,49788.6915196199,76,146,95502.4808906896,52.0547945205479,47.8665987990331
"DRC",120,"dpc_conflict_mid",4,802.263508758757,3,7,1073.69040593685,42.8571428571429,25.2798102392707
"DRC",120,"no_pep",72.8,315736.927256817,0,728,315736.927256817,0,0
"DRC",120,"optimistic_hi",0,56.2139734861989,1,1,239.03574394628,100,76.4830261122654
"DRC",120,"optimistic_lo",33,28697.1564747651,119,152,160397.858453508,78.2894736842105,82.1087658205343
"DRC",120,"optimistic_mid",10,3197.01792490114,37,47,19702.1044980609,78.7234042553192,83.7732160784358
"DRC",120,"with_conflict_hi",6,1189.88281749254,3,9,1877.22414332515,33.3333333333333,36.6147712449036
"DRC",120,"with_conflict_lo",161,39582.7985377691,28,189,49600.4198663121,14.8148148148148,20.1966462290913
