"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","no_pep",62.5,"hcw_deaths",2,13.75,50,135.5,212.125
"DRC","no_pep",62.5,"hcw_deaths_incidence",0,0,0,0,4
"DRC","no_pep",62.5,"infections",0,0,0,25,142.15
"DRC","no_pep",63.5,"deaths",0,0,0,15.25,84.15
"DRC","no_pep",63.5,"hcw_deaths",2,13.75,50,137.25,212.125
"DRC","no_pep",63.5,"hcw_deaths_incidence",0,0,0,0,4
"DRC","no_pep",63.5,"infections",0,0,0,25,158.325
"DRC","no_pep",64.5,"deaths",0,0,0,14,79.3500000000001
"DRC","no_pep",64.5,"hcw_deaths",2,13.75,50.5,139.25,212.125
"DRC","no_pep",64.5,"hcw_deaths_incidence",0,0,0,0,4
"DRC","no_pep",64.5,"infections",0,0,0,20.5,145.175
"DRC","no_pep",65.5,"deaths",0,0,0,16.25,80.2
"DRC","no_pep",65.5,"hcw_deaths",2,13.75,51,141.25,212.125
"DRC","no_pep",65.5,"hcw_deaths_incidence",0,0,0,0,4
"DRC","no_pep",65.5,"infections",0,0,0,14.5,132.375
"DRC","no_pep",66.5,"deaths",0,0,0,13,81.025
"DRC","no_pep",66.5,"hcw_deaths",2,13.75,51,142,212.125
"DRC","no_pep",66.5,"hcw_deaths_incidence",0,0,0,0,4
"DRC","no_pep",66.5,"infections",0,0,0,10.5,119.1
"DRC","no_pep",67.5,"deaths",0,0,0,10,76.2
"DRC","no_pep",67.5,"hcw_deaths",2,13.75,51,143.25,212.125
"DRC","no_pep",67.5,"hcw_deaths_incidence",0,0,0,0,4.02500000000001
"DRC","no_pep",67.5,"infections",0,0,0,10.5,116.125
"DRC","no_pep",68.5,"deaths",0,0,0,8,62.025
"DRC","no_pep",68.5,"hcw_deaths",2,13.75,51,144.25,212.125
"DRC","no_pep",68.5,"hcw_deaths_incidence",0,0,0,0,4.02500000000001
"DRC","no_pep",68.5,"infections",0,0,0,9.25,106.075
"DRC","no_pep",69.5,"deaths",0,0,0,7,64.1
"DRC","no_pep",69.5,"hcw_deaths",2,13.75,51,145.25,212.125
"DRC","no_pep",69.5,"hcw_deaths_incidence",0,0,0,0,2.02500000000001
"DRC","no_pep",69.5,"infections",0,0,0,10,109.15
"DRC","no_pep",70.5,"deaths",0,0,0,5.5,60.025
"DRC","no_pep",70.5,"hcw_deaths",2,13.75,51,146,213.1
"DRC","no_pep",70.5,"hcw_deaths_incidence",0,0,0,0,3
"DRC","no_pep",70.5,"infections",0,0,0,8,104.125
"DRC","no_pep",71.5,"deaths",0,0,0,5.5,61.05
"DRC","no_pep",71.5,"hcw_deaths",2,13.75,51,147,213.1
"DRC","no_pep",71.5,"hcw_deaths_incidence",0,0,0,0,2.02500000000001
"DRC","no_pep",71.5,"infections",0,0,0,5.25,99.125
"DRC","no_pep",72.5,"deaths",0,0,0,4,56.2750000000001
"DRC","no_pep",72.5,"hcw_deaths",2,13.75,51,147.25,213.1
"DRC","no_pep",72.5,"hcw_deaths_incidence",0,0,0,0,3.02500000000001
"DRC","no_pep",72.5,"infections",0,0,0,2.25,97.175
"DRC","no_pep",73.5,"deaths",0,0,0,4,56.025
"DRC","no_pep",73.5,"hcw_deaths",2,13.75,51,147.25,214.075
"DRC","no_pep",73.5,"hcw_deaths_incidence",0,0,0,0,3.02500000000001
"DRC","no_pep",73.5,"infections",0,0,0,2.25,91.15
"DRC","no_pep",74.5,"deaths",0,0,0,2.25,46.15
"DRC","no_pep",74.5,"hcw_deaths",2,13.75,51,147.25,215.05
"DRC","no_pep",74.5,"hcw_deaths_incidence",0,0,0,0,3.02500000000001
"DRC","no_pep",74.5,"infections",0,0,0,1,85.15
"DRC","no_pep",75.5,"deaths",0,0,0,1,47.075
"DRC","no_pep",75.5,"hcw_deaths",2,13.75,51,148.25,216.025
"DRC","no_pep",75.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","no_pep",75.5,"infections",0,0,0,1,69.15
"DRC","no_pep",76.5,"deaths",0,0,0,1,46.05
"DRC","no_pep",76.5,"hcw_deaths",2,13.75,51,149.25,217
"DRC","no_pep",76.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","no_pep",76.5,"infections",0,0,0,0,69.4500000000001
"DRC","no_pep",77.5,"deaths",0,0,0,0.25,46.025
"DRC","no_pep",77.5,"hcw_deaths",2,13.75,51,149.5,217.025
"DRC","no_pep",77.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","no_pep",77.5,"infections",0,0,0,0,75.2
"DRC","no_pep",78.5,"deaths",0,0,0,0,41.175
"DRC","no_pep",78.5,"hcw_deaths",2,13.75,51,149.75,217.025
"DRC","no_pep",78.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","no_pep",78.5,"infections",0,0,0,0,67.4250000000001
"DRC","no_pep",79.5,"deaths",0,0,0,0,37.2
"DRC","no_pep",79.5,"hcw_deaths",2,13.75,51,149.75,217.025
"DRC","no_pep",79.5,"hcw_deaths_incidence",0,0,0,0,2
"DRC","no_pep",79.5,"infections",0,0,0,0,74.1
"DRC","optimistic_hi",0.5,"deaths",0,0,0,0,1
