"scenario","particle_id","ppe_efficacy"
"WestAfrica",195,0.547500400288185
"WestAfrica",196,0.646573232905939
"WestAfrica",197,0.753990793897465
"WestAfrica",198,0.370863891174033
"WestAfrica",199,0.530724953492006
"WestAfrica",200,0.876951139650299
"DRC",1,0.454760911206371
"DRC",2,0.335177951458708
"DRC",3,0.599911432808834
"DRC",4,0.601348187793552
"DRC",5,0.584197413042506
"DRC",6,0.629484400677204
"DRC",7,0.848796901199967
"DRC",8,0.33794254096245
"DRC",9,0.785171791758489
"DRC",10,0.446952094728609
"DRC",11,0.347246702400967
"DRC",12,0.744739521205731
"DRC",13,0.827573386229451
"DRC",14,0.352938225650796
"DRC",15,0.488542573716507
"DRC",16,0.772741378913066
"DRC",17,0.629484400677204
"DRC",18,0.440492328511308
"DRC",19,0.601348187793552
"DRC",20,0.601348187793552
"DRC",21,0.608740422745859
"DRC",22,0.892508224278437
"DRC",23,0.588839024463126
"DRC",24,0.827573386229451
"DRC",25,0.352938225650796
"DRC",26,0.848796901199967
"DRC",27,0.504399099102755
"DRC",28,0.519232448221735
"DRC",29,0.665787250894652
"DRC",30,0.391123327735577
"DRC",31,0.629484400677204
"DRC",32,0.447476940285644
"DRC",33,0.606172861235612
"DRC",34,0.556277139583657
"DRC",35,0.493617207251935
"DRC",36,0.447476940285644
"DRC",37,0.432642065361142
"DRC",38,0.718614416529471
"DRC",39,0.795530427894859
"DRC",40,0.718614416529471
"DRC",41,0.488542573716507
"DRC",42,0.772741378913066
"DRC",43,0.597531908760057
"DRC",44,0.561406093140633
"DRC",45,0.601348187793552
"DRC",46,0.601348187793552
"DRC",47,0.440492328511308
"DRC",48,0.432642065361142
"DRC",49,0.438773581382372
"DRC",50,0.424047535484791
"DRC",51,0.601348187793552
"DRC",52,0.59721100124667
"DRC",53,0.842713905564908
"DRC",54,0.656356466865339
"DRC",55,0.734793149493635
"DRC",56,0.792338905341752
"DRC",57,0.575758621395363
"DRC",58,0.488542573716507
"DRC",59,0.386309403811551
"DRC",60,0.688800648771651
"DRC",61,0.352938225650796
"DRC",62,0.772741378913066
"DRC",63,0.601348187793552
"DRC",64,0.601348187793552
"DRC",65,0.619132343342491
"DRC",66,0.66381823519728
"DRC",67,0.608740422745859
"DRC",68,0.556277139583657
"DRC",69,0.582712561228859
"DRC",70,0.77157718357701
"DRC",71,0.734793149493635
"DRC",72,0.509904861167903
"DRC",73,0.656474284079709
