"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","coverage_name","eff_name","arm_label","coverage_label","scenario_label"
"DRC",8,"full__obv_60",36.2,129404.365300854,516,878,313146.841530185,58.7699316628702,58.6761390699257,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",8,"full__obv_70",12.2,72294.9281752608,327,449,241518.498606423,72.8285077951002,70.0665048050534,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",8,"full__obv_80",13.2,46833.2205926666,496,628,232283.630700977,78.9808917197452,79.8379160635061,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",8,"full__obv_90",3.8,17439.1122809251,359,397,179059.95005385,90.4282115869018,90.2607410112197,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_high__obv_50",58.7,237475.442722654,286,873,341090.407143761,32.7605956471936,30.377566255458,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_high__obv_60",32.2,98119.2359705415,204,526,154606.70115767,38.7832699619772,36.5362334000786,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_high__obv_70",57.2,243733.824729595,629,1201,449567.023461067,52.3730224812656,45.784763559131,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_high__obv_80",31.8,153153.201655715,402,720,314324.112379156,55.8333333333333,51.2753888028251,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_high__obv_90",21.6,113918.118634533,312,528,266500.291887262,59.0909090909091,57.2540360733548,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_low__obv_50",58.6,225730.772157142,94,680,255143.724375802,13.8235294117647,11.5279936007117,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_low__obv_60",69.1,254425.329758202,153,844,293323.389761637,18.1279620853081,13.2611518075815,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_low__obv_70",51.7,247734.284213616,151,668,297960.661721878,22.6047904191617,16.856714311886,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_low__obv_80",12.6,37861.9680807387,5,131,40118.9449360013,3.81679389312977,5.62571338519239,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",8,"ramp_low__obv_90",63.5,165510.802276337,220,855,198132.085811426,25.7309941520468,16.4644123143873,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",9,"full__obv_50",35.1,117940.319849403,368,719,249398.607262339,51.1821974965229,52.7101128815273,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",9,"full__obv_60",10.9,44007.1911940603,161,270,106259.707655732,59.6296296296296,58.5852510185347,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",9,"full__obv_70",15.1,69771.3934697805,357,508,242976.981655307,70.2755905511811,71.2847723292737,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",9,"full__obv_80",10.6,47427.1340118998,570,676,289597.279073302,84.3195266272189,83.6230733369925,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",9,"full__obv_90",6.8,30699.2364020838,591,659,270966.922161591,89.6813353566009,88.6704856234163,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_high__obv_50",44.8,239413.216559688,220,668,346677.655583395,32.9341317365269,30.9406843204822,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
