"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi"
"DRC","A",0,4660,22.2324308955955,10.704503764546,41.9945916916804
"DRC","A",0,4680,22.2324308955955,10.704503764546,41.9945916916804
"DRC","A",0,4700,22.2324308955955,10.704503764546,41.9945916916804
"DRC","A",0,4720,22.2324308955955,10.704503764546,41.9945916916804
"DRC","A",0,4740,22.2324308955955,10.704503764546,42.8180150581839
"DRC","A",0,4760,22.2324308955955,10.704503764546,42.8180150581839
"DRC","A",0,4780,22.6441425788473,10.704503764546,42.8180150581839
"DRC","A",0,4800,23.055854262099,10.704503764546,42.8180150581839
"DRC","A",0,4820,23.055854262099,10.704503764546,42.8180150581839
"DRC","A",0,4840,23.055854262099,10.704503764546,43.6414384246875
"DRC","A",0,4860,23.055854262099,10.704503764546,43.6414384246875
"DRC","A",0,4880,23.055854262099,10.704503764546,43.6414384246875
"DRC","A",0,4900,23.055854262099,10.704503764546,43.6414384246875
"DRC","A",0,4920,23.055854262099,10.704503764546,43.6414384246875
"DRC","A",0,4940,23.055854262099,10.704503764546,43.6414384246875
"DRC","A",0,4960,23.055854262099,10.704503764546,44.464861791191
"DRC","A",0,4980,23.055854262099,10.704503764546,44.464861791191
"DRC","A",0,5000,23.055854262099,10.704503764546,44.464861791191
"DRC","A",0,5020,23.055854262099,10.704503764546,44.464861791191
"DRC","A",0,5040,23.055854262099,10.704503764546,44.464861791191
"DRC","A",0,5060,23.055854262099,10.704503764546,44.464861791191
"DRC","A",0,5080,23.055854262099,10.704503764546,45.2882851576945
"DRC","A",0,5100,23.055854262099,10.704503764546,45.2882851576945
"DRC","A",0,5120,23.4675659453508,10.704503764546,45.2882851576945
"DRC","A",0,5140,23.8792776286026,10.704503764546,45.2882851576945
"DRC","A",0,5160,23.8792776286026,10.704503764546,45.2882851576945
"DRC","A",0,5180,23.8792776286026,10.704503764546,45.2882851576945
"DRC","A",0,5200,23.8792776286026,10.704503764546,46.1117085241981
"DRC","A",0,5220,23.8792776286026,10.704503764546,46.1117085241981
"DRC","A",0,5240,23.8792776286026,10.704503764546,46.1117085241981
"DRC","A",0,5260,23.8792776286026,10.704503764546,46.1117085241981
"DRC","A",0,5280,23.8792776286026,10.704503764546,46.1117085241981
"DRC","A",0,5300,23.8792776286026,10.704503764546,46.317564365824
"DRC","A",0,5320,23.8792776286026,10.704503764546,46.9351318907016
"DRC","A",0,5340,23.8792776286026,10.704503764546,46.9351318907016
"DRC","A",0,5360,23.8792776286026,10.704503764546,46.9351318907016
"DRC","A",0,5380,23.8792776286026,10.704503764546,46.9351318907016
"DRC","A",0,5400,23.8792776286026,10.704503764546,46.9351318907016
"DRC","A",0,5420,23.8792776286026,10.704503764546,47.1409877323275
"DRC","A",0,5440,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5460,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5480,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5500,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5520,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5540,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5560,23.8792776286026,10.704503764546,47.7585552572052
"DRC","A",0,5580,23.8792776286026,10.704503764546,48.5819786237087
"DRC","A",0,5600,24.7027009951061,10.704503764546,48.5819786237087
"DRC","A",0,5620,24.7027009951061,10.704503764546,48.5819786237087
"DRC","A",0,5640,24.7027009951061,10.704503764546,48.5819786237087
"DRC","A",0,5660,24.7027009951061,10.704503764546,48.5819786237087
"DRC","A",0,5680,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5700,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5720,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5740,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5760,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5780,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5800,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5820,24.7027009951061,10.704503764546,49.4054019902122
"DRC","A",0,5840,24.7027009951061,10.704503764546,50.2288253567158
"DRC","A",0,5860,24.7027009951061,10.704503764546,50.2288253567158
"DRC","A",0,5880,24.7027009951061,10.704503764546,50.2288253567158
"DRC","A",0,5900,24.7027009951061,10.704503764546,50.2288253567158
"DRC","A",0,5920,24.7027009951061,10.704503764546,50.2288253567158
"DRC","A",0,5940,25.5261243616097,10.704503764546,50.2288253567158
