"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","arm_label","scenario_label"
"WestAfrica",146,"obv_70",292.2,952173.208509448,6828,9750,3155094.25002904,70.0307692307692,69.8210851070238,"70%","West Africa (Worst)"
"WestAfrica",146,"obv_80",185.9,340619.70410973,7260,9119,1683553.63576013,79.6139927623643,79.7678139338912,"80%","West Africa (Worst)"
"WestAfrica",146,"obv_90",61.6,124916.127936348,5681,6297,1255839.97170087,90.2175639193267,90.0531810779071,"90%","West Africa (Worst)"
"WestAfrica",149,"obv_50",359,700647.542069792,3505,7095,1396221.07591605,49.4009866102889,49.8182949566134,"50%","West Africa (Worst)"
"WestAfrica",149,"obv_60",254.1,633592.75002211,3820,6361,1577126.2012366,60.0534507152963,59.8261223784551,"60%","West Africa (Worst)"
"WestAfrica",149,"obv_70",274.6,754163.522381258,6367,9113,2542081.94758089,69.867222648963,70.3328398559717,"70%","West Africa (Worst)"
"WestAfrica",149,"obv_80",159.8,391451.397191418,6753,8351,2029019.92758082,80.8645671177105,80.7073655674668,"80%","West Africa (Worst)"
"WestAfrica",149,"obv_90",99.9,288857.127079947,8815,9814,2919522.67259828,89.820664357041,90.1060152815024,"90%","West Africa (Worst)"
"WestAfrica",150,"obv_50",214.8,641654.170767727,2105,4253,1283622.89521694,49.4944744885963,50.0122525736592,"50%","West Africa (Worst)"
"WestAfrica",150,"obv_60",164.9,562072.970180927,2365,4014,1381283.88970812,58.9187842551071,59.3079326871974,"60%","West Africa (Worst)"
"WestAfrica",150,"obv_70",175.4,581585.725058551,4053,5807,1900841.03582159,69.7950749095919,69.4037684320522,"70%","West Africa (Worst)"
"WestAfrica",150,"obv_80",97.7,362402.439320736,3899,4876,1787311.86652526,79.9630844954881,79.7236035798673,"80%","West Africa (Worst)"
"WestAfrica",150,"obv_90",57.8,141313.113397929,5075,5653,1342563.8581544,89.7753405271537,89.4743842134861,"90%","West Africa (Worst)"
"WestAfrica",153,"obv_50",214.5,1037505.94283014,2161,4306,2098007.9307013,50.1857872735718,50.5480447596147,"50%","West Africa (Worst)"
"WestAfrica",153,"obv_60",113,505358.723786293,1619,2749,1268141.00735823,58.8941433248454,60.1496425985745,"60%","West Africa (Worst)"
"WestAfrica",153,"obv_70",53.7,216958.160545575,1263,1800,721211.449853418,70.1666666666667,69.9175379717459,"70%","West Africa (Worst)"
"WestAfrica",153,"obv_80",95,375139.271778983,3770,4720,1858327.84344659,79.8728813559322,79.8130737209844,"80%","West Africa (Worst)"
"WestAfrica",153,"obv_90",28.5,112334.567482374,2377,2662,1040979.28703178,89.2937640871525,89.2087605505887,"90%","West Africa (Worst)"
"WestAfrica",154,"obv_50",372.7,1287390.75183678,3738,7465,2589754.719545,50.0736771600804,50.2890855986946,"50%","West Africa (Worst)"
"WestAfrica",154,"obv_60",259,1020570.4772535,3896,6486,2541976.99756265,60.0678384212149,59.8513095031126,"60%","West Africa (Worst)"
"WestAfrica",154,"obv_70",102.1,455634.683527483,2565,3586,1549467.92190945,71.5281650864473,70.5941196274659,"70%","West Africa (Worst)"
"WestAfrica",154,"obv_80",130.5,554210.567575747,5354,6659,2793161.85784406,80.4024628322571,80.1583081904347,"80%","West Africa (Worst)"
"WestAfrica",154,"obv_90",89.4,353146.976063665,7814,8708,3524952.47817521,89.7335783187873,89.9815110061716,"90%","West Africa (Worst)"
"WestAfrica",155,"obv_50",97.3,354543.53702819,1005,1978,734749.307038782,50.8088978766431,51.7463257696578,"50%","West Africa (Worst)"
"WestAfrica",155,"obv_60",103,376977.753554285,1531,2561,941532.516636331,59.7813354158532,59.9612602970893,"60%","West Africa (Worst)"
